'sample interval','RESP'
'0.008 sec','pm'
952,0.208
953,0.232
954,0.257
955,0.281
956,0.303
957,0.325
958,0.347
959,0.367
960,0.384
961,0.399
962,0.413
963,0.421
964,0.430
965,0.435
966,0.438
967,0.440
968,0.440
969,0.438
970,0.433
971,0.425
972,0.416
973,0.401
974,0.389
975,0.369
976,0.350
977,0.328
978,0.306
979,0.284
980,0.264
981,0.242
982,0.222
983,0.200
984,0.181
985,0.159
986,0.137
987,0.117
988,0.100
989,0.083
990,0.068
991,0.054
992,0.042
993,0.029
994,0.017
995,0.007
996,-0.002
997,-0.010
998,-0.017
999,-0.024
1000,-0.032
1001,-0.037
1002,-0.042
1003,-0.049
1004,-0.054
1005,-0.061
1006,-0.068
1007,-0.073
1008,-0.081
1009,-0.086
1010,-0.093
1011,-0.098
1012,-0.105
1013,-0.112
1014,-0.120
1015,-0.127
1016,-0.134
1017,-0.142
1018,-0.149
1019,-0.156
1020,-0.161
1021,-0.169
1022,-0.174
1023,-0.181
1024,-0.186
1025,-0.193
1026,-0.198
1027,-0.205
1028,-0.210
1029,-0.213
1030,-0.218
1031,-0.222
1032,-0.225
1033,-0.230
1034,-0.232
1035,-0.235
1036,-0.237
1037,-0.240
1038,-0.240
1039,-0.240
1040,-0.242
1041,-0.242
1042,-0.242
1043,-0.240
1044,-0.240
1045,-0.237
1046,-0.235
1047,-0.232
1048,-0.227
1049,-0.225
1050,-0.220
1051,-0.215
1052,-0.210
1053,-0.200
1054,-0.193
1055,-0.183
1056,-0.171
1057,-0.159
1058,-0.147
1059,-0.132
1060,-0.117
1061,-0.103
1062,-0.088
1063,-0.068
1064,-0.046
1065,-0.022
1066,0.002
1067,0.029
1068,0.054
1069,0.078
1070,0.105
1071,0.137
1072,0.169
1073,0.208
1074,0.244
1075,0.289
1076,0.330
1077,0.377
1078,0.421
1079,0.462
1080,0.504
1081,0.543
1082,0.584
1083,0.623
1084,0.663
1085,0.702
1086,0.741
1087,0.775
1088,0.812
1089,0.841
1090,0.870
1091,0.897
1092,0.922
1093,0.944
1094,0.966
1095,0.980
1096,0.995
1097,1.000
1098,1.007
1099,1.010
1100,1.010
1101,1.005
1102,1.000
1103,0.985
1104,0.971
1105,0.946
1106,0.924
1107,0.900
1108,0.875
1109,0.848
1110,0.822
1111,0.790
1112,0.758
1113,0.721
1114,0.687
1115,0.650
1116,0.616
1117,0.579
1118,0.545
1119,0.516
1120,0.487
1121,0.462
1122,0.438
1123,0.413
1124,0.391
1125,0.369
1126,0.350
1127,0.330
1128,0.313
1129,0.298
1130,0.284
1131,0.269
1132,0.252
1133,0.237
1134,0.222
1135,0.208
1136,0.196
1137,0.181
1138,0.169
1139,0.156
1140,0.144
1141,0.134
1142,0.122
1143,0.112
1144,0.100
1145,0.090
1146,0.078
1147,0.068
1148,0.059
1149,0.049
1150,0.039
1151,0.029
1152,0.020
1153,0.010
1154,0.000
1155,-0.007
1156,-0.017
1157,-0.027
1158,-0.034
1159,-0.042
1160,-0.049
1161,-0.056
1162,-0.064
1163,-0.068
1164,-0.076
1165,-0.081
1166,-0.086
1167,-0.090
1168,-0.095
1169,-0.100
1170,-0.105
1171,-0.110
1172,-0.117
1173,-0.122
1174,-0.130
1175,-0.137
1176,-0.144
1177,-0.152
1178,-0.156
1179,-0.164
1180,-0.169
1181,-0.174
1182,-0.178
1183,-0.183
1184,-0.188
1185,-0.193
1186,-0.198
1187,-0.200
1188,-0.203
1189,-0.205
1190,-0.205
1191,-0.205
1192,-0.205
1193,-0.205
1194,-0.205
1195,-0.203
1196,-0.198
1197,-0.193
1198,-0.186
1199,-0.181
1200,-0.174
1201,-0.166
1202,-0.156
1203,-0.144
1204,-0.130
1205,-0.112
1206,-0.093
1207,-0.076
1208,-0.056
1209,-0.034
1210,-0.015
1211,0.015
1212,0.042
1213,0.076
1214,0.110
1215,0.152
1216,0.191
1217,0.237
1218,0.281
1219,0.325
1220,0.367
1221,0.408
1222,0.447
1223,0.489
1224,0.531
1225,0.572
1226,0.614
1227,0.648
1228,0.682
1229,0.711
1230,0.738
1231,0.760
1232,0.782
1233,0.795
1234,0.809
1235,0.812
1236,0.814
1237,0.807
1238,0.802
1239,0.790
1240,0.778
1241,0.760
1242,0.746
1243,0.721
1244,0.697
1245,0.667
1246,0.636
1247,0.606
1248,0.577
1249,0.550
1250,0.521
1251,0.489
1252,0.460
1253,0.425
1254,0.394
1255,0.362
1256,0.330
1257,0.301
1258,0.271
1259,0.244
1260,0.220
1261,0.200
1262,0.178
1263,0.161
1264,0.142
1265,0.125
1266,0.110
1267,0.095
1268,0.083
1269,0.073
1270,0.061
1271,0.051
1272,0.042
1273,0.034
1274,0.024
1275,0.017
1276,0.007
1277,-0.002
1278,-0.010
1279,-0.020
1280,-0.027
1281,-0.037
1282,-0.044
1283,-0.054
1284,-0.064
1285,-0.071
1286,-0.081
1287,-0.088
1288,-0.098
1289,-0.105
1290,-0.112
1291,-0.120
1292,-0.130
1293,-0.137
1294,-0.144
1295,-0.154
1296,-0.161
1297,-0.171
1298,-0.178
1299,-0.186
1300,-0.193
1301,-0.200
1302,-0.208
1303,-0.213
1304,-0.220
1305,-0.225
1306,-0.232
1307,-0.235
1308,-0.240
1309,-0.240
1310,-0.242
1311,-0.242
1312,-0.242
1313,-0.240
1314,-0.237
1315,-0.235
1316,-0.230
1317,-0.225
1318,-0.218
1319,-0.213
1320,-0.205
1321,-0.198
1322,-0.191
1323,-0.181
1324,-0.169
1325,-0.154
1326,-0.142
1327,-0.125
1328,-0.110
1329,-0.093
1330,-0.076
1331,-0.051
1332,-0.027
1333,0.005
1334,0.037
1335,0.076
1336,0.112
1337,0.156
1338,0.200
1339,0.242
1340,0.284
1341,0.323
1342,0.364
1343,0.408
1344,0.452
1345,0.499
1346,0.545
1347,0.587
1348,0.628
1349,0.663
